ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1439576768,144,2151495387,34740318,17653,6921043,26975805,21815733,6805383,5350355,69014558,69013945,36717574,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439581223,144,2151500469,34740341,17653,6921043,26975825,21815796,6805442,5350355,69014636,69014023,36717651,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439587534,144,2151508006,34740362,17654,6921043,26975845,21815855,6805503,5350355,69014716,69014103,36717732,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439610462,144,2151535345,34740401,17654,6921043,26975886,21816062,6805583,5350355,69014848,69014235,36717851,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1440003554,144,2151555043,34740421,17654,6921043,26975906,21816433,6805713,5350355,69015223,69014610,36718002,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1441117138,144,2151595571,34740445,17654,6921043,26975929,21817541,6805932,5350355,69016329,69015716,36718243,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1442832685,144,2151688697,34740487,17654,6921043,26975972,21819307,6806299,5350355,69017950,69017337,36718653,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1443980280,144,2151739692,34740509,17654,6921043,26975994,21820277,6806545,5350355,69018937,69018324,36718921,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1445107659,144,2151797115,34740551,17654,6921043,26976032,21820920,6806720,5350355,69019624,69019011,36719136,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1446239933,144,2151853226,34740608,17654,6921043,26976090,21822179,6806963,5350355,69020918,69020305,36719439,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1447721056,144,2151927758,34740651,17654,6921043,26976132,21823136,6807170,5350355,69021900,69021287,36719681,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1448109430,144,2151964612,34740670,17654,6921043,26976151,21823804,6807350,5350355,69022589,69021976,36719881,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1449785034,144,2152039789,34740701,17654,6921043,26976184,21824899,6807600,5350355,69023726,69023113,36720175,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1450186331,144,2152091474,34740733,17654,6921043,26976215,21825310,6807745,5350355,69024146,69023533,36720350,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1450560191,144,2152126995,34740772,17654,6921043,26976254,21825954,6807907,5350355,69024815,69024202,36720544,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1451328929,144,2152160106,34740811,17654,6921043,26976294,21826319,6808019,5350355,69025218,69024605,36720691,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1451711069,144,2152181850,34740851,17654,6921043,26976334,21826970,6808177,5350355,69025912,69025299,36720888,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1452502804,144,2152249520,34740875,17654,6921043,26976357,21827513,6808322,5350355,69026332,69025719,36721056,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1452894245,144,2152280040,34740897,17654,6921043,26976383,21827942,6808462,5350355,69026723,69026110,36721222,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1453653375,144,2152332927,34740926,17654,6921043,26976414,21828600,6808686,5350355,69027403,69026790,36721474,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1454031918,144,2152350887,34740946,17654,6921043,26976434,21829034,6808801,5350355,69027773,69027160,36721608,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1454231048,144,2152402506,34740983,17654,6921043,26976475,21829832,6809010,5350355,69028611,69027998,36721857,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1455351671,144,2152430600,34740999,17654,6921043,26976491,21830177,6809119,5350355,69028975,69028362,36721982,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1455731256,144,2152446975,34741020,17654,6921043,26976511,21830522,6809220,5350355,69029341,69028728,36722102,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1456502137,144,2152512251,34741047,17655,6921043,26976542,21831190,6809426,5350355,69030042,69029429,36722342,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
